名称,价格（元/晚）,地址,特点,已购人数,评分,收藏,简评,评价
华辰酒店(西安钟楼东大街明城墙店),152,"[钟鼓楼/回民街/市中心]
和平路105号


地图",商务出行,5502,4.5?,19,棒极了,性价比高
西安阳光国际大酒店,346,"[钟鼓楼/回民街/市中心]
解放路177号


地图",浪漫情侣,4074,4.6?,20,棒极了,离火车站近
西安阳光国际大酒店,346,"[钟鼓楼/回民街/市中心]
解放路177号


地图",浪漫情侣,4074,4.6?,1,棒极了,离火车站近
柠檬酒店(西安金花店),272,"[城东/西京医院/小商品批发市场]
长乐中路240号


地图


街景",商务出行,4727,4.7?,2,棒极了,服务态度好
斯维登精品公寓(西安钟楼火车站),240,"[钟鼓楼/回民街/市中心]
西二路21号(地铁四号线五路口站F出口)


地图",浪漫情侣,6004,4.7?,3,棒极了,离火车站近
西安紫金山大酒店,174,"[钟鼓楼/回民街/市中心]
环城西路328号


地图


街景",商务出行,1563,4.3?,4,挺好哒,性价比高
西安美道酒店,269,"[西安市高新技术开发区]
高新路60乙号(地铁三号线科技路站C出口)


地图",商务出行,4645,4.7?,5,棒极了,性价比高
美豪酒店(西安市政府机场高铁北客站店),294,"[西安高铁站火车北站/西安市政中心]
凤城七路和明光路十字东北角180号长和国际A座


地图",浪漫情侣,3477,4.9?,6,棒极了,离高铁站近
左右客设计师精品酒店(西安钟鼓楼回民街店)(原古都店),408,"[钟鼓楼/回民街/市中心]
莲湖路188号


地图",亲子酒店,1594,4.7?,7,棒极了,古色古香
兴阳精选酒店(西安钟鼓楼回民街店),136,"[钟鼓楼/回民街/市中心]
环城西路南段八佳路1号


地图",商务出行,1356,4.7?,8,棒极了,性价比高
左洛精品酒店(西安明城墙永兴坊店)(原钟鼓楼东门店),109,"[钟鼓楼/回民街/市中心]
东二路12号永兴坊后门


地图",亲子酒店,4195,4.9?,9,棒极了,服务态度好
西安古都文化大酒店(原古都新世界大酒店),329,"[钟鼓楼/回民街/市中心]
莲湖路172号


地图


街景",休闲度假,5634,4.5?,10,棒极了,性价比高
美豪丽致酒店(西安长乐公园店),359,"[城东/西京医院/小商品批发市场]
金花北路35号


地图",商务出行,1817,4.9?,11,棒极了,前台热情
美豪酒店(西安朱雀店),379,"[小寨/历史博物馆]
小寨西路朱雀大街250号


地图


街景",休闲度假,5955,4.7?,12,棒极了,服务周到
雅缦智选酒店(西安会展中心店),428,"[电视塔/国展中心]
长安南路长丰园小区15栋B座


地图


街景",商务出行,914,4.7?,13,棒极了,服务态度好
西安高新锦业路亚朵酒店,350,"[高新管委会/绿地会展中心]
高新区锦业一路52号宝德云谷B座


地图",商务出行,139,5.0?,14,棒极了,服务周到
和颐酒店(西安大雁塔地铁站店),288,"[大雁塔/曲江旅游区]
大雁塔北广场慈恩西路2089号


地图


街景",亲子酒店,5380,4.7?,15,棒极了,夜景美
西安海景国际酒店,276,"[城东/西京医院/小商品批发市场]
兴庆北路219号A座


地图


街景",浪漫情侣,2272,4.4?,16,挺好哒,出行方便
天朗草阳酒店(西安西稍门机场大巴店),169,"[西稍门/机场大巴站]
劳动南路187号


地图",商务出行,2203,4.2?,17,挺好哒,出行方便
西安名都国际酒店,374,"[市图书馆/凤城二路]
未央路140号


地图


街景",商务出行,6115,4.9?,18,棒极了,前台热情
美豪丽致酒店(西安北二环店)(原华帝金座店),328,"[大明宫万达/大明宫遗址公园]
北二环与贞观路十字东北角华帝金座B座


地图",商务出行,1143,4.9?,19,棒极了,服务周到
柠檬酒店(西安南门店),298,"[城南/李家村万达广场]
体育馆南路89号，地铁二号线永宁门站


地图


街景",亲子酒店,5707,4.6?,20,棒极了,地理位置好
美莎酒店(西安钟楼南门店),299,"[钟鼓楼/回民街/市中心]
南门外环城南路16号


地图


街景",商务出行,2311,4.5?,1,棒极了,地理位置好
华美达兆瑞酒店(西安钟楼店),538,"[钟鼓楼/回民街/市中心]
北大街79号


地图


街景",购物便捷,8294,4.6?,2,棒极了,位置优越
美豪酒店(西安行政中心高铁北客站旗舰店),469,"[西安高铁站火车北站/西安市政中心]
未央路199号


地图",休闲度假,4422,4.8?,3,棒极了,服务周到
西安会展国际酒店,319,"[小寨/历史博物馆]
长安北路1号


地图",休闲度假,5680,4.6?,4,棒极了,交通便利
美豪酒店(西安钟楼东大街店),528,"[钟鼓楼/回民街/市中心]
东大街589号(地铁二号线钟楼站C口向东50米，近骡马市)


地图",休闲度假,2995,4.9?,5,棒极了,服务周到
西安海升酒店,299,"[西安市高新技术开发区]
高新技术开发区沣惠南路34号


地图


街景",亲子酒店,3773,4.6?,6,棒极了,性价比高
陕西阳阳国际酒店,330,"[小寨/历史博物馆]
朱雀大街南段132号阳阳国际广场


地图


街景",浪漫情侣,3573,4.7?,7,棒极了,出行方便
西安翔龙大酒店,318,"[西安高铁站火车北站/西安市政中心]
武德路华鑫天悦城


地图",大学周边,1158,4.8?,8,棒极了,离高铁站近
西安君诚国际酒店,788,"[钟鼓楼/回民街/市中心]
莲湖路202号(邻近地铁1号线出口)


地图


街景",亲子酒店,3780,4.7?,9,棒极了,离城墙近
长城大厦(西安李家村万达广场店),169,"[城南/李家村万达广场]
友谊东路288号


地图


街景",浪漫情侣,3240,4.6?,10,棒极了,出行方便
斯维登度假公寓(西安大明宫万达余家寨地铁口店),160,"[大明宫万达/大明宫遗址公园]
太华北路大明宫万达广场4号公寓楼4层(近地铁4号线余家寨C出口)


地图


街景",浪漫情侣,2260,4.6?,11,棒极了,服务态度好
雅致酒店(西安曲江大雁塔店),658,"[大雁塔/曲江旅游区]
芙蓉西路106号，地铁大雁塔站C口出


地图",商务出行,146,5.0?,12,棒极了,服务周到
青春假日连锁酒店(西安钟楼丰庆路店),176,"[西稍门/机场大巴站]
丰庆路39号御溪望城10号楼


地图",浪漫情侣,835,4.6?,13,棒极了,性价比高
如家精选酒店(西安钟楼东大街群光广场店),256,"[钟鼓楼/回民街/市中心]
东大街端履门十字东北角向东走50米


地图",商务出行,798,4.7?,14,棒极了,地理位置好
西安小寨地铁站亚朵轻居酒店,321,"[小寨/历史博物馆]
长安中路74号


地图",浪漫情侣,1132,4.8?,15,棒极了,出行方便
西安南门亚朵S酒店,478,"[钟鼓楼/回民街/市中心]
环城南路东段331号


地图


街景",亲子酒店,4124,4.9?,16,棒极了,前台热情
金莎精选酒店(西安小寨店),335,"[小寨/历史博物馆]
长安中路65号金莎国际A座1楼


地图


街景",购物便捷,6162,4.5?,17,棒极了,地理位置好
王子星月精选酒店(西安钟鼓楼回民街店),379,"[钟鼓楼/回民街/市中心]
西五路85号


地图


街景",亲子酒店,8801,4.7?,18,棒极了,离火车站近
美豪丽致酒店(西安高新店),484,"[西安市高新技术开发区]
高新四路西大新区对面高新九号广场北侧19楼


地图",浪漫情侣,4285,4.8?,19,棒极了,服务周到
西安大雁塔希尔顿欢朋酒店,668,"[大雁塔/曲江旅游区]
曲江新区雁南一路北侧659号


地图",商务出行,3445,4.9?,20,棒极了,设施齐全
美豪丽致酒店(西安民乐园永兴坊店),429,"[钟鼓楼/回民街/市中心]
尚俭路160号


地图",亲子酒店,1934,4.9?,1,棒极了,前台热情
汇成天玺酒店(西安曲江会展中心店),410,"[电视塔/国展中心]
朱雀大街南段1号


地图",休闲度假,1413,4.7?,2,棒极了,大堂气派
美丽豪酒店(西安钟鼓楼店),1198,"[钟鼓楼/回民街/市中心]
西大街79号 市公安局西侧


地图


街景",休闲度假,14047,4.7?,3,棒极了,服务态度好
云尚精品酒店(西安四海忆家店),288,"[市图书馆/凤城二路]
太华北路与永敏路交汇处(近四海唐人街，地铁4号线余家寨地铁A出口，大明宫万达)


地图",商务出行,965,4.9?,5,棒极了,性价比高
西安芙蓉阁酒店,799,"[大雁塔/曲江旅游区]
雁南1路1号,大唐芙蓉园西门


地图",休闲度假,344,4.9?,6,棒极了,夜景美
西安天朗森柏大酒店,350,"[西安市高新技术开发区]
高新区丈八北路380号


地图


街景",浪漫情侣,1888,4.6?,7,棒极了,出行方便
朵哈精品酒店(西安钟鼓楼回民街店),263,"[钟鼓楼/回民街/市中心]
西北三路15号


地图",浪漫情侣,1373,4.6?,8,棒极了,离地铁站近
华榕国际酒店(西安明城墙交大店),305,"[城东/交通大学]
太乙路255号(原化工六院)


地图",浪漫情侣,1021,4.5?,9,棒极了,离城墙近
骐美商务酒店(西安曲江芙蓉园店),269,"[大雁塔/曲江旅游区]
曲江池西路60号(西安广电中心北隔壁)


地图


街景",休闲度假,1192,4.4?,10,挺好哒,离景点近
新城民生国际酒店(西安永兴坊店),199,"[钟鼓楼/回民街/市中心]
解放路103号


地图


街景",休闲度假,2073,4.6?,11,棒极了,地理位置好
菲林酒店(西安钟楼旗舰店),526,"[钟鼓楼/回民街/市中心]
南广济街36号


地图",浪漫情侣,2558,4.9?,12,棒极了,贴心服务
申鹏国际商务酒店(西安钟楼东大街店),133,"[钟鼓楼/回民街/市中心]
东大街132号


地图


街景",浪漫情侣,1723,4.1?,14,挺好哒,服务态度好
西安尚德大厦,198,"[解放路万达广场/火车站]
尚德路155号


地图


街景",休闲度假,1066,4.2?,15,挺好哒,离火车站近
戴森酒店(西安大雁塔南广场店),1284,"[大雁塔/曲江旅游区]
雁南一路659号海港城9街，近大雁塔


地图",商务出行,723,4.7?,16,棒极了,地理位置好
西安桃源假日酒店,768,"[西安市高新技术开发区]
南二环西段9号


地图


街景",浪漫情侣,2521,4.5?,17,棒极了,出行方便
西安天朗时代大酒店,425,"[钟鼓楼/回民街/市中心]
环城西路北段360号


地图


街景",休闲度假,4125,4.6?,18,棒极了,性价比高
西安中心戴斯酒店(钟楼店),820,"[钟鼓楼/回民街/市中心]
北大街99号


地图


街景",亲子酒店,16382,4.5?,19,棒极了,交通便利
和颐酒店(西安钟楼南大街地铁站店),227,"[钟鼓楼/回民街/市中心]
碑林南大街54号


地图


街景",休闲度假,3626,4.6?,20,棒极了,人文特色
西安泰隆酒店,209,"[唐都医院/城东客运站]
席王村新寺路1号


地图",浪漫情侣,1094,4.6?,1,棒极了,服务态度好
西安曲江银座酒店,458,"[大雁塔/曲江旅游区]
翠华南路982号


地图


街景",休闲度假,2941,4.7?,2,棒极了,性价比高
美伦酒店(西安年轮店),282,"[钟鼓楼/回民街/市中心]
西大街32号


地图


街景",浪漫情侣,3947,4.6?,3,棒极了,地理位置好
陕西天宇菲尔德国际大酒店,888,"[雁塔区]
西安航天经济技术开发区神州3路239号


地图


街景",休闲度假,2194,4.8?,4,棒极了,服务周到
西安宾馆,818,"[小寨/历史博物馆]
长安路北段58号


地图",休闲度假,5997,4.3?,5,挺好哒,离古城近
宜必思尚品酒店(西安钟楼店),291,"[钟鼓楼/回民街/市中心]
骡马市2号(钟楼地铁站C口)


地图",商务出行,975,4.7?,6,棒极了,离步行街近
西安唐安酒店,307,"[北关/龙首村]
文景路89号


地图",浪漫情侣,1247,4.5?,7,棒极了,性价比高
西安德美豪墅酒店,422,"[西安高铁站火车北站/西安市政中心]
西安市未央区文景路与凤城十一路交汇处文景商务广场1号楼


地图",浪漫情侣,155,4.8?,8,棒极了,离高铁站近
富润酒店(西安钟鼓楼店),149,"[钟鼓楼/回民街/市中心]
南大街1号(书院门旁)


地图


街景",亲子酒店,5669,4.5?,9,棒极了,离城墙近
美豪丽致酒店(西安钟楼店),1688,"[钟鼓楼/回民街/市中心]
西大街79号


地图",休闲度假,4437,4.9?,10,棒极了,服务周到
西安楠林国际酒店,316,"[钟鼓楼/回民街/市中心]
南新街8号


地图


街景",商务出行,1023,4.5?,11,棒极了,出行方便
西安钟楼丽晶庭院酒店,1145,"[钟鼓楼/回民街/市中心]
莲湖区西大街20号,钟楼饭店西隔壁(钟楼金花广场正对面)


地图",亲子酒店,9489,4.7?,12,棒极了,交通便利
西安兴正元国际酒店,200,"[钟鼓楼/回民街/市中心]
钟楼市中心骡马市步行街南口


地图


街景",休闲度假,1889,4.4?,13,挺好哒,购物方便
西安唐城宾馆,1366,"[城南/小雁塔旅游区]
含光路南段229号(临近小寨商圈)


地图


街景",商务出行,3353,4.3?,14,挺好哒,大堂气派
西安盛美利亚酒店,1212,"[大雁塔/曲江旅游区]
曲江池西路1666号


地图


街景",浪漫情侣,3783,4.8?,15,棒极了,大堂气派
西安禹龙国际酒店,350,"[市图书馆/凤城二路]
二环北路西段5号未央立交西北角


地图",休闲度假,1966,4.6?,16,棒极了,大堂气派
西安临潼悦椿温泉酒店,750,"[兵马俑旅游区]
悦椿东路8号


地图


街景",浪漫情侣,7854,4.7?,17,棒极了,温泉不错
西安喜来登大酒店,464,"[城西]
丰镐东路262号


地图


街景",休闲度假,3769,4.4?,19,挺好哒,服务态度好
西安建国饭店,410,"[城东/交通大学]
互助路2号


地图


街景",浪漫情侣,8195,4.6?,20,棒极了,有历史感
西安金磐酒店,391,"[西安高铁站火车北站/西安市政中心]
凤城九路39号


地图",商务出行,152,5.0?,1,棒极了,离高铁站近
雅夫酒店(西安市图书馆店),218,"[市图书馆/凤城二路]
凤城一路7号地铁2号线


地图",浪漫情侣,2592,4.8?,2,棒极了,性价比高
西安壹阁国际假日酒店,212,"[小寨/历史博物馆]
育才路西口183号


地图",浪漫情侣,2031,4.2?,3,挺好哒,地理位置好
美豪酒店(西安高新一中店),339,"[西安市高新技术开发区]
高新区高新路环亚花园5号高新一中初中部


地图",亲子酒店,2081,4.9?,5,棒极了,贴心服务
陇海大酒店(西安火车站机场大巴店),184,"[解放路万达广场/火车站]
解放路306号


地图


街景",浪漫情侣,6891,4.4?,6,挺好哒,离火车站近
凯里亚德酒店(西安高铁北站店),246,"[西安高铁站火车北站/西安市政中心]
凤城十路世茂都17号楼


地图",商务出行,279,4.9?,7,棒极了,离北站近
西安大天瑞斯丽酒店,611,"[西安市高新技术开发区]
高新区团结南路10号


地图",浪漫情侣,663,4.9?,8,棒极了,前台热情
西安志诚丽柏酒店,430,"[西安市高新技术开发区]
高新区高新路46号


地图


街景",休闲度假,2870,4.7?,10,棒极了,出行方便
锦江之星品尚(西安建工路延兴门地铁站店),229,"[碑林区]
建工路33号


地图


街景",商务出行,1527,4.8?,11,棒极了,服务态度好
西安富力希尔顿酒店,667,"[钟鼓楼/回民街/市中心]
东新街199号


地图


街景",浪漫情侣,4241,4.6?,12,棒极了,离步行街近
西安华清·爱琴海国际温泉酒店,376,"[兵马俑旅游区]
陕鼓大道8号


地图",浪漫情侣,5518,4.6?,13,棒极了,温泉不错
西安浐灞艾美酒店,545,"[西安高铁站火车北站/西安市政中心]
浐灞生态区欧亚大道西段6号


地图",浪漫情侣,864,4.7?,14,棒极了,湖景美
西安钟楼亚朵S吴酒店,715,"[钟鼓楼/回民街/市中心]
东大街与南新街交叉口向北50米，省政府对面


地图


街景",亲子酒店,3273,4.7?,15,棒极了,地理位置好
西安大寨路亚朵酒店,327,"[西安市高新技术开发区]
大寨路晶鑫商业广场


地图",浪漫情侣,985,4.8?,16,棒极了,服务周到
西安华山国际酒店,404,"[钟鼓楼/回民街/市中心]
北大街199号


地图


街景",浪漫情侣,2395,4.7?,17,棒极了,地理位置好
锐思特逸致酒店(西安钟楼北大街地铁站店),328,"[钟鼓楼/回民街/市中心]
钟楼北大街十字口嘉隆大厦(北大街与莲湖路十字路口)


地图",地铁周边,282,4.8?,18,棒极了,在市中心
西安钟楼饭店,779,"[钟鼓楼/回民街/市中心]
南大街110号


地图


街景",浪漫情侣,9707,4.2?,19,挺好哒,夜景美
锦江之星(西安长乐西路通化门地铁站店),219,"[城东/西京医院/小商品批发市场]
长乐西路3号


地图",地铁周边,1211,4.5?,20,棒极了,出行方便
泰祺酒店(西安行政中心高铁北客站店),239,"[西安高铁站火车北站/西安市政中心]
首创富北高银27号楼


地图",浪漫情侣,3952,4.8?,1,棒极了,离高铁站近
栖隅酒店(西安龙湖店),216,"[莲湖区]
大兴东路龙湖moco一号楼二号厅


地图",浪漫情侣,424,4.9?,2,棒极了,性价比高
西安万丽酒店,739,"[大雁塔/曲江旅游区]
曲江新区汇新路355号


地图",商务出行,294,4.9?,3,棒极了,前台热情
西安绽白艺术酒店,361,"[大雁塔/曲江旅游区]
雁塔西路6号


地图",亲子酒店,115,4.9?,4,棒极了,服务周到
西安曲江华美达广场酒店,606,"[电视塔/国展中心]
雁南五路1958号


地图


街景",休闲度假,3339,4.6?,5,棒极了,性价比高
Y精品酒店(西安大学城店),241,"[长安区]
西长安街579号GOGO街区，政法大学对面


地图",浪漫情侣,924,4.7?,6,棒极了,购物方便
西安惠源·锦江国际酒店,331,"[钟鼓楼/回民街/市中心]
西五路100号


地图


街景",浪漫情侣,3317,4.5?,7,棒极了,离地铁站近
全季酒店(西安解放路万达店),332,"[钟鼓楼/回民街/市中心]
解放路77号地铁1号线和4号线五路口站


地图


街景",商务出行,1987,4.7?,9,棒极了,离火车站近
如家驿居酒店(西安西京医院通化门地铁站店),215,"[城东/西京医院/小商品批发市场]
长乐西路41号长乐大厦7楼


地图",交通枢纽,593,4.7?,10,棒极了,出行方便
咸阳君豪商务宾馆,90,"[咸阳国际机场]
空港新城边方村南三条街北东四户


地图",机场周边,3476,4.8?,12,棒极了,接送机方便
苹果之歌温泉酒店(西安曲江会展中心店),228,"[电视塔/国展中心]
丈八东路9号


地图


街景",休闲度假,1096,4.6?,13,棒极了,温泉不错
胜似闲庭精品酒店(西安凤栖原地铁口店),169,"[长安区]
北长安街30号凤栖原地铁站D出口(206所)


地图",浪漫情侣,367,4.8?,14,棒极了,设计有特色
美豪酒店(西安兵马俑华清宫店),366,"[兵马俑旅游区]
书院东路8号，紧邻华清宫200米


地图",亲子酒店,606,5.0?,15,棒极了,服务周到
7天连锁酒店(西安大雁塔小寨地铁站店)(原小寨十字地铁站店),199,"[小寨/历史博物馆]
2.3号地铁A出口前行20米 (长安中路86号)


地图


街景",地铁周边,1659,4.5?,16,棒极了,湖景美
百事特威酒店(西安高新店),247,"[西安市高新技术开发区]
沣惠南路36号橡树街区C座


地图


街景",浪漫情侣,3173,4.6?,17,棒极了,前台热情
西安君悦酒店,956,"[高新管委会/绿地会展中心]
锦业路12号


地图",亲子酒店,345,4.9?,18,棒极了,大堂气派
西安天骊君廷大酒店,533,"[西安市高新技术开发区]
太白南路198号，近科技二路


地图


街景",浪漫情侣,3729,4.9?,19,棒极了,服务周到
菲林酒店(西安高新区电子城店)(原太白南路店),222,"[城南/太白立交]
电子二路88号太白南路近文理学院电子城


地图",浪漫情侣,1636,4.9?,20,棒极了,设计有特色
西安天朗锦城艺术酒店,289,"[莲湖区]
大兴东路45号


地图",浪漫情侣,1341,4.8?,2,棒极了,性价比高
西安铂菲朗酒店,616,"[西安高铁站火车北站/西安市政中心]
凤城七路101号


地图",商务出行,216,4.8?,3,棒极了,前台热情
西安雅歌精致酒店,349,"[唐都医院/城东客运站]
长乐东路2999号(半坡地铁站D出口)


地图",浪漫情侣,802,4.7?,4,棒极了,服务态度好
山水时尚酒店(西安钟楼店),262,"[钟鼓楼/回民街/市中心]
钟楼北大街1号宏府嘉会广场B座钟楼地铁站A出口星巴克旁大厅


地图",地铁周边,1062,4.9?,5,棒极了,服务态度好
西安经开智选假日酒店,417,"[西安高铁站火车北站/西安市政中心]
未央路170号(未央路与凤城七路十字西北角)


地图",浪漫情侣,1030,4.5?,6,棒极了,出行方便
菲林酒店(西安高新区电子城店)(原太白南路店),222,"[城南/太白立交]
电子二路88号太白南路近文理学院电子城


地图",浪漫情侣,1636,4.9?,8,棒极了,设计有特色
西安高铁北站亚朵酒店,399,"[西安高铁站火车北站/西安市政中心]
文景路220号一方.中港国际B座


地图",商务出行,847,4.9?,9,棒极了,离高铁站近
康铂酒店(西安大雁塔店),298,"[大雁塔/曲江旅游区]
翠华路188号(翠华路与雁塔西路交口)


地图",商务出行,833,4.8?,10,棒极了,离景点近
维也纳国际酒店(西安高新科技路店),293,"[西安市高新技术开发区]
科技路1号


地图",商务出行,1049,4.9?,11,棒极了,大堂气派
柠檬漫莎酒店(西安钟楼店),265,"[钟鼓楼/回民街/市中心]
钟楼东大街端履门十字西南角钟楼以东，近钟楼、回民街、地铁二号线钟楼站


地图",浪漫情侣,1804,4.4?,12,挺好哒,地理位置好
西安天域凯莱大饭店,418,"[城南/李家村万达广场]
雁塔北路1号


地图


街景",休闲度假,5987,4.7?,13,棒极了,地理位置好
百事特威酒店(西安会展中心丈八东路店),310,"[电子城/电子正街]
丈八路与东仪路十字西南角通信学院学福利区


地图


街景",浪漫情侣,442,4.9?,16,棒极了,性价比高
和颐酒店(西安高新区店),241,"[西安市高新技术开发区]
唐延路35号旺座现代城A座


地图


街景",商务出行,410,4.7?,17,棒极了,性价比高
西安锦江国际酒店,488,"[未央区]
浐灞生态区欧亚大道西段6号


地图


街景",浪漫情侣,2810,4.5?,18,棒极了,适合度假
西安长征米拉梭酒店,286,"[纺织城]
纺西街222号


地图",浪漫情侣,1220,4.7?,19,棒极了,性价比高
西安高新亚朵酒店,349,"[西安市高新技术开发区]
科技路37号海星城市广场A座21楼前台


地图


街景",浪漫情侣,2379,4.6?,20,棒极了,离地铁站近
西安高新希尔顿酒店,609,"[西安市高新技术开发区]
沣惠南路22号


地图


街景",浪漫情侣,2067,4.5?,2,棒极了,温泉不错
臻美文化艺术酒店(西安含光路美术学院店),305,"[城南/小雁塔旅游区]
含光南路100号


地图",浪漫情侣,1072,4.5?,3,棒极了,出行方便
西安翱翔国际会议中心,358,"[西安市高新技术开发区]
劳动南路西工大创新大厦


地图",商务出行,169,4.8?,4,棒极了,服务态度好
西安斯维登度假公寓(通化门地铁站),189,"[城东/西京医院/小商品批发市场]
长乐西路41号长乐大厦10层(地铁一号线通化门站A口出或三号线通化门站A1西北口出)


地图


街景",浪漫情侣,1499,4.6?,5,棒极了,出行方便
逸华时代大酒店(西安边家村西北大学店),209,"[城南/小雁塔旅游区]
泰华金汇时代(太白北路和友谊西路十字向北100米路西)


地图",浪漫情侣,848,4.7?,9,棒极了,性价比高
美豪酒店(西安阳光店),388,"[高新管委会/绿地会展中心]
高新区创业大道9号(阳光天地西100米路南)


地图",商务出行,1126,4.9?,10,棒极了,服务周到
7天连锁酒店(西安凤城二路市图书馆地铁站店),168,"[大明宫万达/大明宫遗址公园]
凤城二路10号天地时代广场B座28楼


地图


街景",地铁周边,1391,4.5?,11,棒极了,离高铁站近
西安中兴和泰酒店,520,"[高新管委会/绿地会展中心]
唐延南路10号，中兴产业园


地图


街景",浪漫情侣,2396,4.8?,12,棒极了,服务态度好
柠檬酒店(西安玉祥门店),275,"[西稍门/机场大巴站]
大庆路96号


地图


街景",浪漫情侣,4342,4.7?,13,棒极了,性价比高
西安斯维登度假公寓(大唐芙蓉园店),170,"[大雁塔/曲江旅游区]
新开门中海紫御华府28号楼1单元4楼411室


地图",浪漫情侣,918,4.5?,14,棒极了,性价比高
如家酒店(西安太华北路科技大学店),161,"[西安高铁站火车北站/西安市政中心]
草滩陕西科技大学时代广场2号楼南段4层


地图


街景",大学周边,658,4.7?,15,棒极了,服务态度好
保罗假日酒店(西安高铁北客站店),224,"[西安高铁站火车北站/西安市政中心]
凤城十一路与凤城北路十字西南角


地图",商务出行,711,4.6?,16,棒极了,离高铁近
如家精选酒店(西安永兴坊朝阳门地铁站店),293,"[城东/西京医院/小商品批发市场]
长乐西路128号


地图",浪漫情侣,697,4.8?,19,棒极了,离地铁站近
H酒店(西安凤城八路行政中心水晶店),229,"[西安高铁站火车北站/西安市政中心]
凤城八路与渭滨路十字向东一百米路南


地图",浪漫情侣,1528,4.7?,20,棒极了,性价比高
西安中江之旅·中江酒店,298,"[西安市高新技术开发区]
唐兴路21号


地图",商务出行,1361,4.8?,1,棒极了,性价比高
世纪山水酒店(西安钟鼓楼回民街店),255,"[钟鼓楼/回民街/市中心]
北大街88号(近地铁1、2号线北大街站B口)


地图


街景",浪漫情侣,4196,4.2?,2,挺好哒,离小吃街近
西安永丰酒店大雁塔店,262,"[大雁塔/曲江旅游区]
西安雁塔区雁塔北路南段86号


地图",地铁周边,1080,4.7?,3,棒极了,出行方便
苹果之歌设计师酒店(西安交大店),247,"[城东/交通大学]
咸宁西路交大街(原交大商场)


地图


街景",浪漫情侣,1970,4.5?,4,棒极了,出行方便
西安高新唐延路亚朵酒店,369,"[西安市高新技术开发区]
科技一路58号


地图",浪漫情侣,611,4.8?,6,棒极了,服务周到
IU酒店(西安钟鼓楼广场店),188,"[钟鼓楼/回民街/市中心]
西大街中环广场B座


地图",地铁周边,2262,4.8?,7,棒极了,地理位置好
百事特威酒店(西安大兴店),203,"[莲湖区]
大兴东路龙湖星悦荟一层


地图


街景",商务出行,4748,4.8?,9,棒极了,购物方便
锦江之星品尚(西安红庙坡大兴东路店),209,"[莲湖区]
大兴东路2号


地图


街景",商务出行,887,4.7?,10,棒极了,吃喝玩乐方便
柠檬泊曼酒店(西安高新店),368,"[电子城/电子正街]
唐延南路1号永阳公园内


地图",商务出行,865,4.8?,11,棒极了,服务态度好
